iter	min_stage	morula_rank_lowest_is_1	morula_minus_min	A_Oocyte	A_Zygote	A_2-cell	A_4-cell	A_8-cell	A_Morula	A_Epiblast
0	8-cell	6	0.297641609859447	0.6757840634964127	0.4760760352667488	0.6760991405349039	0.8324770519784817	0.4472318670308085	0.7448734768902555	0.6655113885337143
1	Zygote	4	0.20219478685390763	0.664554946730405	0.3880152180549012	0.4834133482155329	0.5523343338271198	0.6535816815162198	0.5902100049088088	0.6270718728359608
2	4-cell	4	0.22798296001975743	0.5687954939569574	0.8196247291454622	0.36314477286536206	0.18286466386159056	0.6999852246108338	0.410847623881348	0.2029899945717936
3	4-cell	4	0.3006232147553531	0.41154608380833185	0.6395911519425583	0.8561070749080388	0.29982250951967243	0.49196758615484476	0.6004457242750255	0.6812159916290905
4	Epiblast	7	0.28638656923099953	0.3156859031760934	0.4504191330891256	0.4782231407789572	0.5589834967861129	0.3476746569010118	0.5678051890501519	0.28141861981915234
5	2-cell	4	0.06505402203957744	0.6329329603342946	0.43573695551886926	0.3785119091973563	0.38484900302469516	0.46720750061180283	0.4435659312369337	0.6649540039790357
6	8-cell	5	0.3654844174400341	0.5166664647199984	0.6448368434131291	0.4953370169572006	0.37361161366868667	0.238915256113322	0.6043996735533561	0.6653261228285519
7	Oocyte	7	0.8023669348202811	0.08702561826422575	0.4268018004103581	0.411895985844451	0.42510608047095644	0.44970107348907395	0.8893925530845068	0.30620454938600755
8	Zygote	4	0.22486117630251906	0.6533693948266228	0.2801995122239462	0.7815880350869259	0.32646112127713733	0.39788234240146103	0.5050606885264652	0.5315301260585906
9	2-cell	6	0.11690424864403581	0.825937959222935	0.3492561558317938	0.2755322844802663	0.38263196368138375	0.3257198854267167	0.3924365331243021	0.32550232477232083
10	Zygote	5	0.29450456317234674	0.5501473855910219	0.2566867718943705	0.261240689212958	0.43146789412697883	0.6238198368651413	0.5511913350667172	0.6238915207816013
11	Oocyte	4	0.16746666731828508	0.3211438622164322	0.453967500115933	0.4929836016096658	0.7020312605263734	0.4252792704618511	0.4886105295347173	0.6856959217577426
12	4-cell	4	0.04151477876737564	0.48975841900726713	0.7755423652668153	0.4947603988398535	0.4368945124628829	0.45915907746221063	0.47840929123025855	0.47346398141932133
