control_name	K	control_type	sign	latent_control_norm	latent_control_cosine_to_full_residual	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
only_top1	1	only_topK	forward	0.14982488972897895	0.8701237318760118	1.1233617571824	0.8832449429879548	0.9276920102492467	0.8487798699346262	0.2444893084169749	0.6280751453770224	0.2450139399685482	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4222222222222222	0.875	0.875	2.0389221242386006	1.0224014859114376
sign_flip_top1	1	sign_flip_topK	reverse	0.14982488972897895	-0.8701237318760118	1.2738000447030244	0.97970061029892	1.00773151073847	0.8487798699346262	0.24600903304687688	0.6217158015110271	0.24653218436845606	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.15555555555555556	0.875	0.875	2.2907514145773256	1.0224014859114376
remove_top1_keep_remainder	1	remove_topK_keep_remainder	forward_remainder	1.9457196387197682	0.9992796658537015	0.0865014404163323	0.1269989135854387	0.22233107494122423	0.8487798699346262	0.23851765029727393	0.6517710056708332	0.23899966103466624	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6757555235103266	1.0224014859114376
only_top3	3	only_topK	forward	0.3435196126479828	0.9038366276365968	1.0220895758983197	0.8043757435862544	0.9108660068975041	0.8487798699346262	0.2436068550507357	0.6319801644476216	0.24413003389635846	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.4888888888888889	0.875	0.875	1.8719813978943398	1.0224014859114376
sign_flip_top3	3	sign_flip_topK	reverse	0.3435196126479828	-0.9038366276365968	1.3796907532800105	1.034381596339974	1.2739437596732088	0.8487798699346263	0.24715787963797492	0.6167962941412624	0.24767860357783758	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.467910033609978	1.0224014859114376
remove_top3_keep_remainder	3	remove_topK_keep_remainder	forward_remainder	1.7703110753424158	0.9965472616386076	0.19833114083422937	0.18162005718572805	0.25228922102950624	0.8487798699346262	0.23872292977907944	0.6506838896724962	0.23921192318767096	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.7375105462806029	1.0224014859114376
only_top5	5	only_topK	forward	0.538991954010136	0.9026347768556747	0.9266617282382792	0.7196723891461356	0.833300920765742	0.8487798699346262	0.242836508753062	0.6353435465868847	0.2433556182207702	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.6444444444444445	0.875	0.875	1.7151537054260355	1.0224014859114376
sign_flip_top5	5	sign_flip_topK	reverse	0.538991954010136	-0.9026347768556747	1.484761300256951	1.0782944644528787	1.3033962145669489	0.8487798699346262	0.2484026826281973	0.6115886504878078	0.24892079824889315	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.644930268113078	1.0224014859114376
remove_top5_keep_remainder	5	remove_topK_keep_remainder	forward_remainder	1.6050251947382823	0.9894993459761808	0.3111871497387946	0.2523969368382316	0.3600226663002307	0.8487798699346262	0.23904510826861064	0.6492717232930417	0.23954059295630067	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.8440410695349838	1.0224014859114376
only_top10	10	only_topK	forward	0.9131755341020833	0.9217618707005804	0.7406201825596949	0.5359898476225508	0.7012231422082063	0.8487798699346262	0.24153355183769948	0.6409879584106246	0.2420400587116233	1.5666635350021403	1.9104332695957345	0.6	0.9555555555555556	0.875	0.875	1.4163772704958533	1.0224014859114376
