cluster_name	x_8cell	x_morula	x_blast	x_blast_pred	c_diag_entry	c_diag_exit	is_mzero	is_remeth	is_stay	module_id	is_M00	is_priority	n_cpg	width	acc_morula	acc_8cell	k4me3_8cell_ov	k4me3_8cell_sc	k27me3_blast_ov	k4me3_blast_ov	k27ac_blast_ov	k27ac_8cell_ov	basin_residual_rank
cluster_1007	0.06613756613756612	0.0	0.1015873015873016	0.06883064650807093	-0.10594314046377629	0.03275665507923067	1	1	0	M00	1	0	3	224	-0.2518541755555556	0.2755143461111111	0		1	0	0	0	94
cluster_1126	0.10714396284829722	0.0	0.12433862433862433	0.06883064650807093	-0.1289535071728689	0.055507977830553404	1	1	0	M00	1	0	3	139	-0.2562984456666667	0.4805315256666667	0		1	0	0	0	91
cluster_123	0.004228123342490015	0.0	0.020689655172413796	0.06883064650807093	-0.07120321948219205	-0.048140991335657135	1	0	1	M11	0	0	2	272	0.3996210383333333	1.3854474539999997	1	30.0	1	0	0	1	137
cluster_125	0.13133261799928464	0.0	0.061904761904761886	0.06883064650807093	-0.14252675110235435	-0.006925884603309042	1	1	0	M07	0	0	2	496	-0.08456080660000005	0.6398328168	1	30.0	0	0	0	0	27
cluster_1257	0.01212121212121212	0.0	0.019047619047619046	0.06883064650807093	-0.07563235449122566	-0.04978302746045188	1	0	1	M02	0	1	3	26	-0.1574549965	-0.41478521	1	39.0	1	0	0	0	109
cluster_126	0.04109879127278817	0.02083333333333333	0.054715761097247774	0.08052108210411811	-0.07105952625233358	-0.025805321006870337	0	0	0	M06	0	0	4	620	0.22504760559999998	0.7173916396	0		1	0	0	1	90
cluster_1333	0.06961938895752771	0.008064516129032258	0.025541346973572042	0.07335597641621823	-0.09983241755555725	-0.04781462944264619	1	0	1	M04	0	0	3	1493	0.7193941816666666	0.3787392783333334	0		1	0	0	0	62
cluster_1387	0.2833333333333333	0.14285714285714285	0.0	0.14899363345239452	-0.08496342775716986	-0.14899363345239452	0	0	0	M12	0	1	2	52	0.010608259799999995	0.4092252642	0		1	0	1	0	32
cluster_1406	0.005555555555555557	0.4705882352941176	0.0	0.33289695644231326	0.3986401392937674	-0.33289695644231326	0	0	0	M07	0	0	2	27	0.21649764406666666	0.36835031366666665	0		0	1	1	1	120
cluster_1523	0.04896790610184544	0.42857142857142855	0.06946996801647964	0.3093196073410417	0.33226288674062593	-0.23984963932456205	0	0	0	M06	0	0	2	127	0.11561099712903225	0.36128957593548383	0		0	0	0	1	53
cluster_1556	0.03333333333333333	0.0	0.1	0.06883064650807093	-0.08753534346174643	0.031169353491929078	1	1	0	M00	1	0	2	13	0.08728189229411766	0.4117367467647058	0		0	0	1	0	48
cluster_1564	0.007407407407407406	0.0	0.0	0.06883064650807093	-0.07298724583110992	-0.06883064650807093	1	0	1	M02	0	1	6	239	0.08728189229411766	0.4117367467647058	1	230.0	0	1	1	1	123
cluster_1586	0.007407407407407406	0.0	0.14	0.06883064650807093	-0.07298724583110992	0.07116935349192909	1	1	0	M00	1	0	2	4	0.04816724248571429	0.38756340842857134	1	61.0	1	0	1	0	81
cluster_1607	0.02969498910675382	0.5	0.01818181818181818	0.34940110081320347	0.4145062803233933	-0.3312192826313853	0	0	0	M06	0	0	3	196	0.12359088166666668	0.4271012655555555	0		1	0	0	0	98
cluster_1688	0.04444444444444445	0.0	0.0	0.06883064650807093	-0.09377024244630494	-0.06883064650807093	1	0	1	M02	0	1	2	26			0		1	0	0	0	64
cluster_1715	0.026469997001911896	0.0	0.04570760233918129	0.06883064650807093	-0.08368404467663476	-0.02312304416888964	1	0	1	M06	0	0	8	921	0.6139499775999999	0.5015522137999999	1	61.0	0	1	1	1	60
cluster_1718	0.1469208776971304	0.7	0.1214035087719298	0.4616292825352565	0.5487260386871436	-0.3402257737633267	0	0	0	M00	1	0	3	262	0.5087951024	0.11171229820000002	0		1	0	0	0	40
cluster_1742	0.5159041394335511	0.25	0.16666666666666666	0.20911587366063722	-0.10832556406561067	-0.04244920699397056	0	0	0	M08	0	0	4	193	0.8376863477500001	0.0983085115	0		0	0	0	0	13
