group	random_mode	iteration	random_morula_accessibility_mean	random_morula_minus_8cell_mean	random_overlap_fraction
top25_residual	module_matched_random_sets	0	1.726103791681818	0.08446577868181813	0.88
top25_residual	module_matched_random_sets	1	1.3811701330909092	-0.11085229568181815	0.88
top25_residual	module_matched_random_sets	2	1.5624988809	0.02220411384999992	0.8
top25_residual	module_matched_random_sets	3	1.5597253984285713	-0.08622347704761907	0.84
top25_residual	module_matched_random_sets	4	1.4544296443809523	-0.13027423319047615	0.84
top25_residual	module_matched_random_sets	5	1.5384533262857143	0.08902704623809525	0.84
top25_residual	module_matched_random_sets	6	1.2864547637083334	-0.15762784174999997	0.96
top25_residual	module_matched_random_sets	7	1.359893740809524	-0.023503361857142906	0.84
top25_residual	module_matched_random_sets	8	1.5533139464285715	0.1076390531904762	0.84
top25_residual	module_matched_random_sets	9	1.4393576339523808	-0.02405818414285716	0.84
top25_residual	module_matched_random_sets	10	1.4625814936190475	0.01723300314285716	0.84
top25_residual	module_matched_random_sets	11	1.429146473173913	-0.05937013991304345	0.92
top25_residual	module_matched_random_sets	12	1.3957574404347823	0.06610851343478259	0.92
top25_residual	module_matched_random_sets	13	1.6199430038181821	0.06681357299999995	0.88
top25_residual	module_matched_random_sets	14	1.3744351371363637	-0.11486222136363633	0.88
top25_residual	module_matched_random_sets	15	1.418287010217391	-0.1353725232608696	0.92
top25_residual	module_matched_random_sets	16	1.5012563130454544	0.0049125390909090716	0.88
top25_residual	module_matched_random_sets	17	1.521419202521739	-0.02350916847826092	0.92
top25_residual	module_matched_random_sets	18	1.5559776104	-0.013090934050000025	0.8
top25_residual	module_matched_random_sets	19	1.418386787142857	-0.053456477714285716	0.84
top25_residual	module_matched_random_sets	20	1.4500274623181821	-0.1446641186818182	0.88
top25_residual	module_matched_random_sets	21	1.5828841657272728	-0.18215143409090914	0.88
top25_residual	module_matched_random_sets	22	1.56651146875	0.15246967269999998	0.8
top25_residual	module_matched_random_sets	23	1.2438102917142857	-0.16714164128571427	0.84
top25_residual	module_matched_random_sets	24	1.4010111191	-0.01040251940000001	0.8
top25_residual	module_matched_random_sets	25	1.4949136868636366	-0.06942806877272735	0.88
