morula_A_mean	morula_P_mean	morula_reset_score_A_minus_P	morula_A_rank_lowest_is_1	morula_P_rank_highest_is_1	morula_reset_rank_lowest_is_1	iteration
0.44715418164805154	0.5395514641090546	-0.0923972824610031	4	7	6	0
0.4639470258753109	0.594195715759731	-0.13024868988442007	6	1	3	1
0.4313256185687293	0.5633216512540364	-0.13199603268530713	1	4	1	2
0.42442529491653846	0.598002400708323	-0.17357710579178454	1	1	1	3
0.45289587064319053	0.5560670352470797	-0.10317116460388914	3	5	3	4
0.4422485992965665	0.5319637446433808	-0.0897151453468143	2	7	5	5
0.43868399559046356	0.5608569454573699	-0.1221729498669063	1	4	3	6
0.4366999338105109	0.5404132474129643	-0.10371331360245334	2	7	5	7
0.45500975745643	0.5526616732019521	-0.09765191574552212	4	7	5	8
0.4689487658201899	0.5266384290457744	-0.0576896632255845	7	7	7	9
0.44134581382017274	0.5308023439346836	-0.08945653011451088	3	7	6	10
0.4749976366976014	0.5821849807360271	-0.10718734403842567	7	1	4	11
0.4496019962664485	0.5553967639907493	-0.10579476772430085	4	3	4	12
0.43583787028472376	0.5316922763274856	-0.09585440604276185	2	7	5	13
0.4378051175103316	0.553560235053507	-0.11575511754317547	2	5	3	14
0.4141661749165427	0.5339448627621185	-0.11977868784557583	1	7	3	15
0.4729606587456185	0.5640632107809885	-0.09110255203537004	6	3	6	16
0.44305071395794116	0.5670906427536625	-0.12403992879572134	3	3	2	17
0.4437050869293106	0.5449872884217802	-0.10128220149246964	2	7	3	18
0.44141193039515997	0.5434987304659288	-0.10208680007076881	3	6	5	19
0.45370732692851456	0.5561913550972835	-0.10248402816876889	4	5	5	20
0.46446578466984617	0.5481598440689264	-0.0836940593990802	6	6	6	21
0.45997287780897134	0.5720469228870931	-0.1120740450781218	5	1	3	22
0.4672191666808915	0.566651646968233	-0.09943248028734153	7	3	6	23
0.463254836607659	0.5658829800370632	-0.10262814342940418	6	2	5	24
0.4608490512349868	0.5314976761511793	-0.07064862491619245	7	7	7	25
0.47730847647736835	0.549470284039008	-0.07216180756163965	7	5	7	26
0.44150914510624306	0.5525543357121196	-0.11104519060587659	4	6	4	27
0.480511936979292	0.5358763302601025	-0.0553643932808105	7	7	7	28
0.4260201632794703	0.5557110752248755	-0.12969091194540522	1	4	1	29
0.45436411336483823	0.5414008487756543	-0.08703673541081608	4	5	5	30
0.4563182594953181	0.5564370261020626	-0.10011876660674446	5	5	5	31
0.42419391883724494	0.553364014040468	-0.12917009520322303	1	5	1	32
0.4396227561996749	0.5487702114097704	-0.10914745521009556	1	5	4	33
0.4341762386864244	0.5590924392074247	-0.12491620052100028	3	4	2	34
0.45230352794936923	0.5519487528781784	-0.09964522492880912	4	5	5	35
0.4396923834194299	0.5450483170791781	-0.10535593365974821	1	7	4	36
0.42181545251818875	0.5756956033148029	-0.1538801507966141	1	1	1	37
0.4329841500889073	0.5491044345253447	-0.11612028443643746	1	6	3	38
0.4728986955915934	0.5550646212319561	-0.08216592564036268	7	4	7	39
0.4415555024899924	0.572633632795239	-0.13107813030524662	3	3	2	40
0.41424562839701207	0.5622021145181417	-0.14795648612112966	1	4	1	41
0.45978241132635844	0.5500500192455148	-0.09026760791915633	6	5	6	42
0.43950455626932317	0.5285687859554455	-0.08906422968612238	1	7	6	43
0.4865200656204998	0.5536536083476524	-0.0671335427271526	7	6	7	44
0.45150612002739016	0.5676298239861407	-0.11612370395875055	3	2	2	45
0.4410857531827935	0.5171741678234468	-0.0760884146406533	3	7	6	46
0.465791144955601	0.5665899201516037	-0.10079877519600272	6	4	5	47
0.4493046939872014	0.5580362913183611	-0.10873159733115967	3	3	4	48
0.4658175640169342	0.5305125663223454	-0.06469500230541125	5	6	6	49
0.4626551142006189	0.5855993793517765	-0.12294426515115764	6	1	3	50
0.45966326479013203	0.5632926847675691	-0.10362941997743708	6	4	5	51
0.45292005373490396	0.5408633394491345	-0.08794328571423049	4	7	7	52
0.4795695379508631	0.5456096916986738	-0.06604015374781069	6	6	6	53
0.47502877245797126	0.5205093494382195	-0.04548057698024821	6	7	7	54
0.45167813390068906	0.5808326249886202	-0.12915449108793114	4	1	2	55
0.47960630532162474	0.5759431762604948	-0.09633687093887011	7	2	6	56
0.47148493802917313	0.5492183837353575	-0.07773344570618435	7	6	7	57
0.4685010320852366	0.5681635501186831	-0.09966251803344656	7	3	5	58
0.4697119447596839	0.5655477220261205	-0.09583577726643655	6	3	5	59
0.4494919374378509	0.5809299451224152	-0.13143800768456437	2	3	2	60
0.4757410965740655	0.5544632947474848	-0.0787221981734193	7	5	7	61
0.47111281380666353	0.5495823290638153	-0.07846951525715179	7	5	6	62
0.4593690449222156	0.5305290935849766	-0.07116004866276099	7	6	6	63
0.4463963962596273	0.5483794004393913	-0.10198300417976397	3	5	5	64
